Machine_ID,Temperature,Run_Time,Downtime_Flag
Machine_4,28.81,21.63,no
Machine_2,64.63,19.23,no
Machine_6,63.39,11.04,yes
Machine_1,84.5,11.72,yes
Machine_9,65.63,5.3,yes
Machine_8,80.5,9.57,no
Machine_6,64.99,1.09,no
Machine_3,34.25,15.61,no
Machine_10,67.73,0.06,yes
Machine_7,63.71,15.14,no
Machine_10,69.19,9.72,yes
Machine_4,73.9,3.59,yes
Machine_10,98.5,16.84,no
Machine_9,72.52,20.97,no
Machine_8,47.86,14.59,no
Machine_5,24.53,8.51,yes
Machine_9,43.13,11.99,yes
Machine_6,28.83,5.17,yes
Machine_6,58.45,8.66,yes
Machine_6,73.72,9.02,no
Machine_7,89.37,8.65,no
Machine_8,50.8,9.83,yes
Machine_7,99.19,1.53,yes
Machine_1,48.89,6.37,no
Machine_5,72.03,22.97,yes
Machine_1,66.65,1.68,no
Machine_8,60.6,10.75,yes
Machine_6,55.46,22.16,yes
Machine_9,42.21,14.41,no
Machine_2,88.89,11.5,yes
Machine_4,51.2,1.61,yes
Machine_8,51.58,18.77,yes
Machine_4,57.47,17.01,no
Machine_4,99.83,8.59,yes
Machine_2,52.23,17.42,yes
Machine_10,60.95,16.79,no
Machine_8,62.35,21.09,no
Machine_9,39.02,3.02,no
Machine_10,43.12,13.29,yes
Machine_8,77.72,23.59,no
Machine_3,61.54,5.83,no
Machine_2,86.88,12.4,yes
Machine_4,68.24,19.56,no
Machine_1,72.9,2.52,no
Machine_1,69.23,8.18,no
Machine_10,49.17,3.62,no
Machine_9,73.57,19.68,yes
Machine_9,70.5,19.24,no
Machine_10,22.7,5.13,yes
Machine_3,97.16,23.55,yes
Machine_10,72.68,15.34,yes
Machine_1,99.4,19.6,no
Machine_5,26.07,15.01,yes
Machine_6,57.19,19.94,no
Machine_7,23.35,3.13,yes
Machine_2,88.65,1.24,no
Machine_8,73.01,10.25,yes
Machine_3,31.24,18.0,yes
Machine_4,74.72,23.73,no
Machine_9,93.73,6.21,yes
Machine_5,98.86,2.31,no
Machine_10,93.34,5.49,no
Machine_3,91.88,0.76,yes
Machine_4,36.56,23.49,no
Machine_6,36.28,17.9,yes
Machine_8,73.38,8.44,yes
Machine_9,74.15,14.18,yes
Machine_2,92.41,12.51,yes
Machine_3,75.25,16.24,yes
Machine_10,86.83,7.6,no
Machine_5,98.5,23.1,yes
